GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-55-36.183,3,31,31,0,0.9424547,0.9346384,0,4.081985,3.830002,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-30.3, 7.4, -34.7)","(33.1, 9.3, -35.4)","(-30.3, 7.4, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.200,3,31,31,0,0.9642051,0.9312259,0,4.0728,3.765625,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-30.3, 7.4, -34.7)","(33.1, 9.3, -35.3)","(-30.3, 7.4, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.218,3,31,31,0,0.9590412,0.9495173,0,3.959778,3.675507,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-30.3, 7.4, -34.7)","(33.1, 9.3, -35.6)","(-30.3, 7.4, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.234,3,31,31,0,0.9710723,0.9490833,0,4.044876,3.793823,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-30.3, 7.3, -34.7)","(33.1, 9.3, -35.5)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.251,3,31,31,0,0.9913414,0.9457634,0,4.062866,3.766983,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-29.4, 7.3, -34.6)","(33.2, 9.3, -35.5)","(-30.4, 7.3, -34.6)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.279,3,31,31,0,0.9892228,0.9429042,0,4.031067,3.740295,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-24.9, 7.5, -34.7)","(33.2, 9.2, -35.4)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.296,3,31,31,0,0.9920115,0.9427621,0,3.995392,3.73941,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-13.1, 7.8, -34.8)","(33.2, 9.2, -35.4)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.313,3,31,31,0,0.9993098,0.958204,0,3.973755,3.696808,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-6.9, 8.0, -34.9)","(33.2, 9.2, -35.4)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.336,3,31,31,0,0.9948272,0.9613556,0,3.962952,3.671631,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-8.9, 7.9, -34.9)","(33.2, 9.2, -35.5)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.358,3,31,31,0,0.9987834,0.963633,0,3.928192,3.653,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-10.5, 7.9, -34.9)","(33.2, 9.2, -35.4)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
