GtecTime,UnityTime,LeftEyeOpenness,RightEyeOpenness
0,13-59-41.171,1,1
0,13-59-41.182,1,1
0,13-59-41.192,1,1
0,13-59-41.203,1,1
0,13-59-41.214,1,1
0,13-59-41.231,1,1
0,13-59-41.242,1,1
0,13-59-41.253,1,1
0,13-59-41.264,1,1
0,13-59-41.274,1,1
0,13-59-41.287,1,1
0,13-59-41.297,1,1
0,13-59-41.307,1,1
0,13-59-41.317,1,1
0,13-59-41.328,1,1
0,13-59-41.337,1,1
